147
,org.joda.time.field.AbstractReadableInstantFieldProperty,org.joda.time.ReadablePartial,org.joda.time.DateTimeField,org.joda.time.DurationField,org.joda.time.DateTimeFieldType,org.joda.time.ReadableInstant,org.joda.time.DateTimeUtils,org.joda.time.DateTime,org.joda.time.ReadablePeriod,org.joda.time.YearMonthDay,org.joda.time.DateTimeZone,org.joda.time.base.BaseDateTime,org.joda.time.base.AbstractInstant,org.joda.time.Chronology,org.joda.time.DurationFieldType,org.joda.time.DateMidnight,org.joda.time.ReadableDateTime,org.joda.time.ReadableDuration,org.joda.time.TimeOfDay,org.joda.time.chrono.ISOChronology,org.joda.time.field.ImpreciseDateTimeField,org.joda.time.field.BaseDateTimeField,org.joda.time.field.BaseDurationField,org.joda.time.field.FieldUtils,org.joda.time.Period,org.joda.time.PeriodType,org.joda.time.MutablePeriod,org.joda.time.ReadableInterval,org.joda.time.MutableInterval,org.joda.time.Interval,org.joda.time.Duration,org.joda.time.field.UnsupportedDateTimeField,org.joda.time.convert.ReadableInstantConverter,org.joda.time.convert.AbstractConverter,org.joda.time.convert.PartialConverter,org.joda.time.convert.InstantConverter,org.joda.time.chrono.LimitChronology,org.joda.time.field.DecoratedDateTimeField,org.joda.time.chrono.AssembledChronology,org.joda.time.format.ISODateTimeFormat,org.joda.time.format.DateTimeFormatter,org.joda.time.field.DecoratedDurationField,org.joda.time.MutableDateTime,org.joda.time.base.AbstractPeriod,org.joda.time.format.ISOPeriodFormat,org.joda.time.format.PeriodFormatter,org.joda.time.chrono.BaseGJChronology,org.joda.time.chrono.GJEraDateTimeField,org.joda.time.field.PreciseDurationField,org.joda.time.field.MillisDurationField,org.joda.time.field.ZeroIsMaxDateTimeField,org.joda.time.chrono.BasicYearDateTimeField,org.joda.time.chrono.GJLocaleSymbols,org.joda.time.chrono.GJYearOfEraDateTimeField,org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField,org.joda.time.field.DividedDateTimeField,org.joda.time.chrono.BasicDayOfMonthDateTimeField,org.joda.time.field.OffsetDateTimeField,org.joda.time.chrono.BasicWeekyearDateTimeField,org.joda.time.field.PreciseDateTimeField,org.joda.time.field.RemainderDateTimeField,org.joda.time.chrono.BasicDayOfYearDateTimeField,org.joda.time.chrono.GJMonthOfYearDateTimeField,org.joda.time.chrono.GJDayOfWeekDateTimeField,org.joda.time.IllegalFieldValueException,org.joda.time.DateTimeComparator,org.joda.time.convert.ConverterManager,org.joda.time.convert.Converter,org.joda.time.field.StrictDateTimeField,org.joda.time.field.LenientDateTimeField,org.joda.time.field.DelegatedDateTimeField,org.joda.time.field.ScaledDurationField,org.joda.time.DateTimeFieldType[],org.joda.time.field.SkipDateTimeField,org.joda.time.chrono.GregorianChronology,org.joda.time.chrono.JulianChronology,org.joda.time.chrono.GJChronology,org.joda.time.chrono.BuddhistChronology,org.joda.time.chrono.CopticChronology,org.joda.time.tz.DefaultNameProvider,org.joda.time.tz.NameProvider,org.joda.time.chrono.StrictChronology,org.joda.time.format.PeriodFormat,org.joda.time.format.PeriodFormatterBuilder,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimePrinter,org.joda.time.format.DateTimeParser,org.joda.time.base.AbstractDateTime,org.joda.time.format.DateTimeParserBucket,org.joda.time.format.DateTimeFormatterBuilder,org.joda.time.format.PeriodParser[],org.joda.time.ReadWritablePeriod,org.joda.time.format.FormatUtils,org.joda.time.format.PeriodPrinter[],org.joda.time.format.PeriodPrinter,org.joda.time.format.PeriodParser,org.joda.time.chrono.LenientChronology,org.joda.time.base.AbstractDuration,org.joda.time.ReadWritableDateTime,org.joda.time.chrono.ZonedChronology,org.joda.time.chrono.ISOYearOfEraDateTimeField,org.joda.time.tz.CachedDateTimeZone,org.joda.time.Instant,org.joda.time.tz.ZoneInfoProvider,org.joda.time.tz.Provider,org.joda.time.tz.DateTimeZoneBuilder,org.joda.time.tz.FixedDateTimeZone,org.joda.time.chrono.BaseChronology,org.joda.time.field.UnsupportedDurationField,org.joda.time.convert.StringConverter,org.joda.time.convert.PeriodConverter,org.joda.time.ReadWritableInterval,org.joda.time.convert.DurationConverter,org.joda.time.convert.IntervalConverter,org.joda.time.JodaTimePermission,org.joda.time.base.AbstractPartial,org.joda.time.field.AbstractPartialFieldProperty,org.joda.time.base.BasePartial,org.joda.time.base.BasePeriod,org.joda.time.convert.ReadablePartialConverter,org.joda.time.ReadWritableInstant,org.joda.time.convert.ReadablePeriodConverter,org.joda.time.tz.ZoneInfoCompiler,org.joda.time.base.BaseInterval,org.joda.time.base.AbstractInterval,org.joda.time.chrono.JulianChronology[],org.joda.time.convert.ReadableIntervalConverter,org.joda.time.chrono.GregorianChronology[],org.joda.time.chrono.CopticEraDateTimeField,org.joda.time.convert.CalendarConverter,org.joda.time.convert.LongConverter,org.joda.time.convert.NullConverter,org.joda.time.convert.ConverterSet,org.joda.time.convert.ReadableDurationConverter,org.joda.time.convert.DateConverter,org.joda.time.DateTimeConstants,org.joda.time.chrono.CopticMonthOfYearDateTimeField,org.joda.time.field.PreciseDurationDateTimeField,org.joda.time.chrono.CommonGJChronology,org.joda.time.Partial,org.joda.time.tz.UTCProvider,org.joda.time.field.SkipUndoDateTimeField,org.joda.time.base.BaseDuration,org.joda.time.chrono.CopticChronology[],org.joda.time.field.DelegatedDurationField,org.joda.time.chrono.ThaiBuddhistEraDateTimeField
org.joda.time.field.AbstractReadableInstantFieldProperty,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,Infinity,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0
org.joda.time.ReadablePartial,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,Infinity,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0
org.joda.time.DateTimeField,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,4.0,3.0,4.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,Infinity,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0
org.joda.time.DurationField,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,Infinity,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0
org.joda.time.DateTimeFieldType,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,Infinity,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0
org.joda.time.ReadableInstant,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,Infinity,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0
org.joda.time.DateTimeUtils,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,Infinity,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0
org.joda.time.DateTime,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,Infinity,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
org.joda.time.ReadablePeriod,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,Infinity,3.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0
org.joda.time.YearMonthDay,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,Infinity,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0
