46
,junit.swingui.TestHierarchyRunView,junit.swingui.TestRunContext,junit.swingui.TestSuitePanel,junit.framework.TestResult,junit.framework.TestListener,junit.swingui.TestRunner,junit.framework.Test,junit.swingui.TestTreeModel,junit.swingui.TestRunView,junit.framework.Assert,junit.framework.AssertionFailedError,junit.runner.FailureDetailView,junit.framework.TestFailure,junit.ui.TestRunner,junit.awtui.TestRunner,junit.runner.Sorter,junit.swingui.TestSelector,junit.runner.TestCollector,junit.awtui.Logo,junit.framework.TestCase,junit.awtui.ProgressBar,junit.extensions.TestSetup,junit.framework.Protectable,junit.extensions.TestDecorator,junit.extensions.RepeatedTest,junit.textui.TestRunner,junit.runner.TestSuiteLoader,junit.runner.Version,junit.framework.TestSuite,junit.runner.StandardTestSuiteLoader,junit.runner.BaseTestRunner,junit.swingui.DefaultFailureDetailView,junit.runner.TestCaseClassLoader,junit.awtui.AboutDialog,junit.swingui.CounterPanel,junit.swingui.StatusLine,junit.extensions.ActiveTestSuite,junit.runner.ReloadingTestSuiteLoader,junit.extensions.ExceptionTestCase,junit.swingui.AboutDialog,junit.runner.LoadingTestCollector,junit.runner.ClassPathTestCollector,junit.swingui.ProgressBar,junit.runner.SimpleTestCollector,junit.swingui.FailureRunView
junit.swingui.TestHierarchyRunView,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0
junit.swingui.TestRunContext,1.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0
junit.swingui.TestSuitePanel,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0
junit.framework.TestResult,1.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0
junit.framework.TestListener,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0
junit.swingui.TestRunner,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0
junit.framework.Test,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0
junit.swingui.TestTreeModel,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,2.0
junit.swingui.TestRunView,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0
junit.framework.Assert,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,5.0,4.0,3.0,3.0,2.0
junit.framework.AssertionFailedError,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0
junit.runner.FailureDetailView,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,0.0,1.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0
junit.framework.TestFailure,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0
junit.ui.TestRunner,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,0.0,1.0,5.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0
junit.awtui.TestRunner,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,0.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0
junit.runner.Sorter,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,0.0,1.0,2.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0
junit.swingui.TestSelector,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,1.0,0.0,1.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0
