50
,junit.framework.Assert,junit.framework.ComparisonFailure,junit.framework.AssertionFailedError,junit.swingui.TestHierarchyRunView,junit.swingui.TestRunContext,junit.swingui.TestSuitePanel,junit.framework.TestResult,junit.framework.TestListener,junit.swingui.TestRunner,junit.framework.Test,junit.swingui.TestTreeModel,junit.swingui.TestRunView,junit.runner.FailureDetailView,junit.framework.TestFailure,junit.awtui.ProgressBar,junit.extensions.RepeatedTest,junit.extensions.TestDecorator,junit.swingui.DefaultFailureDetailView,junit.runner.BaseTestRunner,junit.textui.TestRunner,junit.runner.TestSuiteLoader,junit.runner.Version,junit.framework.TestSuite,junit.runner.StandardTestSuiteLoader,junit.textui.ResultPrinter,junit.framework.TestCase,junit.runner.TestCaseClassLoader,junit.swingui.CounterPanel,junit.swingui.StatusLine,junit.runner.ReloadingTestSuiteLoader,junit.extensions.ActiveTestSuite,junit.extensions.ExceptionTestCase,junit.swingui.AboutDialog,junit.swingui.TestSelector,junit.framework.ComparisonCompactor,junit.runner.TestRunListener,junit.framework.Protectable,junit.swingui.MacProgressBar,junit.swingui.ProgressBar,junit.runner.SimpleTestCollector,junit.runner.ClassPathTestCollector,junit.runner.TestCollector,junit.swingui.FailureRunView,junit.runner.Sorter,junit.awtui.Logo,junit.extensions.TestSetup,junit.awtui.AboutDialog,junit.awtui.TestRunner,junit.runner.LoadingTestCollector
junit.framework.Assert,0.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,Infinity,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0
junit.framework.ComparisonFailure,1.0,0.0,1.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,Infinity,3.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0
junit.framework.AssertionFailedError,1.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,Infinity,2.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0
junit.swingui.TestHierarchyRunView,3.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,Infinity,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0
junit.swingui.TestRunContext,3.0,4.0,3.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,Infinity,3.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0
junit.swingui.TestSuitePanel,2.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,Infinity,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0
junit.framework.TestResult,2.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,Infinity,1.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0
junit.framework.TestListener,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,Infinity,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0
junit.swingui.TestRunner,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,Infinity,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0
junit.framework.Test,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,Infinity,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0
junit.swingui.TestTreeModel,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,Infinity,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0
