,com.sun.enterprise.glassfish.bootstrap.OSGiGlassFishRuntimeBuilder,org.glassfish.experimentalgfapi.Constants,com.sun.enterprise.glassfish.bootstrap.OSGiFrameworkLauncher,org.glassfish.experimentalgfapi.GlassFishRuntime,com.sun.enterprise.glassfish.bootstrap.ASMainHelper,com.sun.enterprise.glassfish.bootstrap.GlassFishMain,org.glassfish.experimentalgfapi.GlassFish,org.glassfish.experimentalgfapi.Deployer,com.sun.enterprise.glassfish.bootstrap.Util,com.sun.enterprise.glassfish.bootstrap.ASMain,com.sun.enterprise.glassfish.bootstrap.GlassFishActivator,com.sun.enterprise.glassfish.bootstrap.StartupContextUtil,org.glassfish.experimentalgfapi.Configurator,com.sun.enterprise.glassfish.bootstrap.ClassPathBuilder,com.sun.enterprise.glassfish.bootstrap.ExtensibleClassLoader,com.sun.enterprise.glassfish.bootstrap.ASMainOSGi,com.sun.enterprise.glassfish.bootstrap.ASMainKnopflerFish,com.sun.enterprise.glassfish.bootstrap.Constants,com.sun.enterprise.glassfish.bootstrap.ASMainEquinox,com.sun.enterprise.glassfish.bootstrap.AutoProcessor,com.sun.enterprise.glassfish.bootstrap.GFRepository,com.sun.enterprise.glassfish.bootstrap.GFModuleDefinition,com.sun.enterprise.glassfish.bootstrap.OSGiGlassFishRuntime,com.sun.enterprise.glassfish.bootstrap.MaskingClassLoader,com.sun.enterprise.glassfish.bootstrap.ASMainStatic,com.sun.enterprise.glassfish.bootstrap.Rejar,com.sun.enterprise.glassfish.bootstrap.ASMainNonOSGi,com.sun.enterprise.glassfish.bootstrap.ProxyModule,com.sun.enterprise.glassfish.bootstrap.ASEmbedded,org.glassfish.experimentalgfapi.CommandRunner,com.sun.enterprise.glassfish.bootstrap.ASMainFelix
com.sun.enterprise.glassfish.bootstrap.OSGiGlassFishRuntimeBuilder,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
org.glassfish.experimentalgfapi.Constants,1.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
com.sun.enterprise.glassfish.bootstrap.OSGiFrameworkLauncher,1.0,Infinity,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
org.glassfish.experimentalgfapi.GlassFishRuntime,1.0,Infinity,Infinity,0.0,3.0,1.0,Infinity,Infinity,Infinity,2.0,1.0,Infinity,Infinity,Infinity,Infinity,4.0,5.0,Infinity,5.0,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,5.0
com.sun.enterprise.glassfish.bootstrap.ASMainHelper,1.0,Infinity,Infinity,Infinity,0.0,1.0,Infinity,Infinity,Infinity,1.0,1.0,Infinity,Infinity,Infinity,Infinity,1.0,2.0,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,2.0
com.sun.enterprise.glassfish.bootstrap.GlassFishMain,3.0,Infinity,Infinity,Infinity,2.0,0.0,Infinity,Infinity,Infinity,1.0,3.0,Infinity,Infinity,Infinity,Infinity,3.0,4.0,Infinity,4.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,4.0
org.glassfish.experimentalgfapi.GlassFish,2.0,Infinity,Infinity,1.0,3.0,1.0,0.0,Infinity,Infinity,2.0,1.0,Infinity,Infinity,Infinity,Infinity,4.0,5.0,Infinity,5.0,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,5.0
org.glassfish.experimentalgfapi.Deployer,4.0,Infinity,Infinity,Infinity,3.0,1.0,Infinity,0.0,Infinity,2.0,4.0,Infinity,Infinity,Infinity,Infinity,4.0,5.0,Infinity,5.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,5.0
com.sun.enterprise.glassfish.bootstrap.Util,2.0,Infinity,Infinity,Infinity,1.0,1.0,Infinity,Infinity,0.0,2.0,2.0,Infinity,Infinity,Infinity,Infinity,1.0,2.0,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,1.0,Infinity,2.0,Infinity,2.0
com.sun.enterprise.glassfish.bootstrap.ASMain,2.0,Infinity,Infinity,Infinity,1.0,2.0,Infinity,Infinity,Infinity,0.0,2.0,Infinity,Infinity,Infinity,Infinity,2.0,3.0,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,3.0
