,com.sun.enterprise.glassfish.bootstrap.OSGiGlassFishRuntimeBuilder,com.sun.enterprise.glassfish.bootstrap.OSGiFrameworkLauncher,org.glassfish.simpleglassfishapi.GlassFishException,org.glassfish.simpleglassfishapi.BootstrapConstants,org.glassfish.simpleglassfishapi.spi.RuntimeBuilder,com.sun.enterprise.glassfish.bootstrap.ASMainHelper,org.glassfish.simpleglassfishapi.BootstrapOptions,org.glassfish.simpleglassfishapi.GlassFishRuntime,com.sun.enterprise.glassfish.bootstrap.GlassFishMain,org.glassfish.simpleglassfishapi.GlassFishOptions,org.glassfish.simpleglassfishapi.GlassFish,org.glassfish.simpleglassfishapi.Deployer,com.sun.enterprise.glassfish.bootstrap.Util,com.sun.enterprise.glassfish.bootstrap.ASMain,org.glassfish.simpleglassfishapi.CommandRunner,com.sun.enterprise.glassfish.bootstrap.EmbeddedOSGiGlassFishRuntimeBuilder,com.sun.enterprise.glassfish.bootstrap.StartupContextUtil,com.sun.enterprise.glassfish.bootstrap.EmbeddedNonOSGiGlassFishRuntimeBuilder,com.sun.enterprise.glassfish.bootstrap.NonOSGiGlassFishRuntime,com.sun.enterprise.glassfish.bootstrap.EmbeddedMain,com.sun.enterprise.glassfish.bootstrap.SingleHK2Factory,com.sun.enterprise.glassfish.bootstrap.ClassPathBuilder,com.sun.enterprise.glassfish.bootstrap.ExtensibleClassLoader,com.sun.enterprise.glassfish.bootstrap.Configurator,com.sun.enterprise.glassfish.bootstrap.ASMainOSGi,com.sun.enterprise.glassfish.bootstrap.ASMainKnopflerFish,com.sun.enterprise.glassfish.bootstrap.Constants,com.sun.enterprise.glassfish.bootstrap.ASMainEquinox,com.sun.enterprise.glassfish.bootstrap.AutoProcessor,com.sun.enterprise.glassfish.bootstrap.GFRepository,com.sun.enterprise.glassfish.bootstrap.GFModuleDefinition,com.sun.enterprise.glassfish.bootstrap.MaskingClassLoader,com.sun.enterprise.glassfish.bootstrap.ASMainStatic,com.sun.enterprise.glassfish.bootstrap.Rejar,com.sun.enterprise.glassfish.bootstrap.ASMainNonOSGi,com.sun.enterprise.glassfish.bootstrap.GlassFishImpl,com.sun.enterprise.glassfish.bootstrap.GlassFishMainActivator,com.sun.enterprise.glassfish.bootstrap.ProxyModule,com.sun.enterprise.glassfish.bootstrap.ASEmbedded,org.glassfish.simpleglassfishapi.GlassFishConstants,com.sun.enterprise.glassfish.bootstrap.NonOSGiGlassFishRuntimeBuilder,com.sun.enterprise.glassfish.bootstrap.ASMainFelix
com.sun.enterprise.glassfish.bootstrap.OSGiGlassFishRuntimeBuilder,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
com.sun.enterprise.glassfish.bootstrap.OSGiFrameworkLauncher,1.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
org.glassfish.simpleglassfishapi.GlassFishException,1.0,Infinity,0.0,Infinity,1.0,4.0,Infinity,1.0,2.0,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,1.0,Infinity,1.0,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,5.0,6.0,Infinity,6.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,4.0,Infinity,1.0,6.0
org.glassfish.simpleglassfishapi.BootstrapConstants,1.0,Infinity,Infinity,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,1.0,Infinity
org.glassfish.simpleglassfishapi.spi.RuntimeBuilder,1.0,Infinity,Infinity,Infinity,0.0,4.0,Infinity,1.0,2.0,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,1.0,Infinity,1.0,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,5.0,6.0,Infinity,6.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,4.0,Infinity,1.0,6.0
com.sun.enterprise.glassfish.bootstrap.ASMainHelper,1.0,Infinity,Infinity,Infinity,Infinity,0.0,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,1.0,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,2.0,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,1.0,2.0
org.glassfish.simpleglassfishapi.BootstrapOptions,1.0,Infinity,Infinity,Infinity,1.0,3.0,0.0,1.0,1.0,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,1.0,Infinity,1.0,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,4.0,5.0,Infinity,5.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,3.0,Infinity,1.0,5.0
org.glassfish.simpleglassfishapi.GlassFishRuntime,1.0,Infinity,Infinity,Infinity,1.0,3.0,Infinity,0.0,1.0,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,1.0,Infinity,1.0,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,4.0,5.0,Infinity,5.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,3.0,Infinity,1.0,5.0
com.sun.enterprise.glassfish.bootstrap.GlassFishMain,3.0,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,0.0,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,3.0,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,4.0,Infinity,4.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,3.0,4.0
org.glassfish.simpleglassfishapi.GlassFishOptions,2.0,Infinity,Infinity,Infinity,2.0,3.0,Infinity,1.0,1.0,0.0,Infinity,Infinity,Infinity,2.0,Infinity,2.0,Infinity,2.0,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,4.0,5.0,Infinity,5.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,3.0,Infinity,2.0,5.0
org.glassfish.simpleglassfishapi.GlassFish,2.0,Infinity,Infinity,Infinity,2.0,3.0,Infinity,1.0,1.0,Infinity,0.0,Infinity,Infinity,2.0,Infinity,2.0,Infinity,2.0,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,4.0,5.0,Infinity,5.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,1.0,Infinity,3.0,Infinity,2.0,5.0
org.glassfish.simpleglassfishapi.Deployer,3.0,Infinity,Infinity,Infinity,3.0,3.0,Infinity,2.0,1.0,Infinity,1.0,0.0,Infinity,2.0,Infinity,3.0,Infinity,3.0,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,4.0,5.0,Infinity,5.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,2.0,Infinity,3.0,Infinity,3.0,5.0
com.sun.enterprise.glassfish.bootstrap.Util,2.0,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,0.0,2.0,Infinity,Infinity,Infinity,1.0,1.0,Infinity,1.0,Infinity,Infinity,Infinity,1.0,2.0,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,1.0,Infinity,Infinity,Infinity,2.0,Infinity,1.0,2.0
com.sun.enterprise.glassfish.bootstrap.ASMain,2.0,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,0.0,Infinity,Infinity,Infinity,2.0,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,3.0,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,2.0,3.0
org.glassfish.simpleglassfishapi.CommandRunner,3.0,Infinity,Infinity,Infinity,3.0,4.0,Infinity,2.0,2.0,Infinity,1.0,Infinity,Infinity,3.0,0.0,3.0,Infinity,3.0,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,5.0,6.0,Infinity,6.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,2.0,Infinity,4.0,Infinity,3.0,6.0
com.sun.enterprise.glassfish.bootstrap.EmbeddedOSGiGlassFishRuntimeBuilder,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity
com.sun.enterprise.glassfish.bootstrap.StartupContextUtil,2.0,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,0.0,2.0,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,2.0,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,2.0,2.0
com.sun.enterprise.glassfish.bootstrap.EmbeddedNonOSGiGlassFishRuntimeBuilder,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
com.sun.enterprise.glassfish.bootstrap.NonOSGiGlassFishRuntime,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity
com.sun.enterprise.glassfish.bootstrap.EmbeddedMain,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity
com.sun.enterprise.glassfish.bootstrap.SingleHK2Factory,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity
