,com.sun.enterprise.glassfish.bootstrap.GlassFishMain,org.glassfish.embeddable.CommandRunner,org.glassfish.embeddable.GlassFishProperties,org.glassfish.embeddable.Deployer,org.glassfish.embeddable.GlassFish,com.sun.enterprise.glassfish.bootstrap.ASMainHelper,org.glassfish.embeddable.BootstrapProperties,com.sun.enterprise.glassfish.bootstrap.Util,org.glassfish.embeddable.CommandResult,org.glassfish.embeddable.GlassFishRuntime,com.sun.enterprise.glassfish.bootstrap.ASMain,org.glassfish.embeddable.GlassFishException,com.sun.enterprise.glassfish.bootstrap.osgi.EmbeddedOSGiGlassFishRuntime,com.sun.enterprise.glassfish.bootstrap.GlassFishImpl,com.sun.enterprise.glassfish.bootstrap.StartupContextUtil,com.sun.enterprise.glassfish.bootstrap.osgi.BundleProvisioner,com.sun.enterprise.glassfish.bootstrap.osgi.Jar,com.sun.enterprise.glassfish.bootstrap.GlassFishDecorator,com.sun.enterprise.glassfish.bootstrap.SingleHK2Factory,com.sun.enterprise.glassfish.bootstrap.osgi.OSGiGlassFishRuntimeBuilder,org.glassfish.embeddable.spi.RuntimeBuilder,com.sun.enterprise.glassfish.bootstrap.Constants,com.sun.enterprise.glassfish.bootstrap.osgi.OSGiFrameworkLauncher,com.sun.enterprise.glassfish.bootstrap.ClassPathBuilder,com.sun.enterprise.glassfish.bootstrap.Configurator,com.sun.enterprise.glassfish.bootstrap.EmbeddedMain,com.sun.enterprise.glassfish.bootstrap.StaticGlassFishRuntimeBuilder,com.sun.enterprise.glassfish.bootstrap.StaticGlassFishRuntime,com.sun.enterprise.glassfish.bootstrap.UberMain,com.sun.enterprise.glassfish.bootstrap.osgi.OSGiGlassFishRuntime,com.sun.enterprise.glassfish.bootstrap.osgi.OSGiGlassFishImpl,com.sun.enterprise.glassfish.bootstrap.JarUtil,com.sun.enterprise.glassfish.bootstrap.ConfiguratorImpl,com.sun.enterprise.glassfish.bootstrap.Rejar,com.sun.enterprise.glassfish.bootstrap.osgi.GlassFishMainActivator,com.sun.enterprise.glassfish.bootstrap.osgi.EmbeddedOSGiGlassFishRuntimeBuilder,com.sun.enterprise.glassfish.bootstrap.GlassFishRuntimeDecorator,com.sun.enterprise.glassfish.bootstrap.osgi.Constants
com.sun.enterprise.glassfish.bootstrap.GlassFishMain,0.0,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,4.0,Infinity,Infinity,Infinity,Infinity,5.0,4.0,Infinity,Infinity
org.glassfish.embeddable.CommandRunner,1.0,0.0,Infinity,Infinity,1.0,3.0,Infinity,Infinity,Infinity,2.0,2.0,Infinity,2.0,1.0,Infinity,Infinity,Infinity,1.0,Infinity,3.0,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,2.0,1.0,2.0,2.0,Infinity,1.0,Infinity,2.0,3.0,2.0,Infinity
org.glassfish.embeddable.GlassFishProperties,1.0,Infinity,0.0,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,1.0,2.0,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,1.0,2.0,2.0,Infinity,Infinity,Infinity,Infinity,1.0,2.0,1.0,Infinity
org.glassfish.embeddable.Deployer,1.0,Infinity,Infinity,0.0,1.0,3.0,Infinity,Infinity,Infinity,2.0,2.0,Infinity,2.0,1.0,Infinity,Infinity,Infinity,1.0,Infinity,3.0,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,2.0,2.0,2.0,2.0,Infinity,Infinity,Infinity,2.0,3.0,2.0,Infinity
org.glassfish.embeddable.GlassFish,1.0,Infinity,Infinity,Infinity,0.0,3.0,Infinity,Infinity,Infinity,1.0,2.0,Infinity,1.0,1.0,Infinity,Infinity,Infinity,1.0,Infinity,2.0,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,1.0,1.0,1.0,1.0,Infinity,Infinity,Infinity,1.0,2.0,1.0,Infinity
com.sun.enterprise.glassfish.bootstrap.ASMainHelper,1.0,Infinity,Infinity,Infinity,Infinity,0.0,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,3.0,2.0,Infinity,Infinity
org.glassfish.embeddable.BootstrapProperties,1.0,Infinity,Infinity,Infinity,Infinity,3.0,0.0,Infinity,Infinity,1.0,2.0,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,2.0,2.0,3.0,Infinity,Infinity,Infinity,Infinity,1.0,1.0,2.0,Infinity
com.sun.enterprise.glassfish.bootstrap.Util,1.0,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,0.0,Infinity,Infinity,2.0,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,1.0,Infinity,3.0,Infinity,1.0,Infinity,Infinity,4.0,3.0,Infinity,Infinity
org.glassfish.embeddable.CommandResult,1.0,1.0,Infinity,Infinity,2.0,3.0,Infinity,Infinity,0.0,3.0,2.0,Infinity,3.0,2.0,Infinity,Infinity,Infinity,2.0,Infinity,4.0,4.0,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,3.0,1.0,3.0,3.0,Infinity,1.0,Infinity,3.0,4.0,3.0,Infinity
org.glassfish.embeddable.GlassFishRuntime,1.0,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,0.0,2.0,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,1.0,1.0,2.0,Infinity,Infinity,Infinity,Infinity,1.0,1.0,1.0,Infinity
