v1,date(v1),v2,date(v2),classes removed, classes added, dependencies removed, dependencies added
10.0-b28,08 oct. 2008,3.0-Prelude-b28b,17 oct. 2008,0,0,0,0
3.0-Prelude-b28b,17 oct. 2008,3.0-Prelude,31 oct. 2008,0,0,0,0
3.0-Prelude,31 oct. 2008,3.0-b29,14 déc. 2008,0,5,2,7
3.0-b29,14 déc. 2008,3.0-Prelude-Embedded-m2,23 déc. 2008,5,0,7,2
3.0-Prelude-Embedded-m2,23 déc. 2008,3.0-b30,24 déc. 2008,0,5,2,7
3.0-b30,24 déc. 2008,3.0-b31,07 janv. 2009,0,0,0,0
3.0-b31,07 janv. 2009,3.0-b32,14 janv. 2009,0,0,0,0
3.0-b32,14 janv. 2009,3.0-b33,21 janv. 2009,0,0,0,0
3.0-b33,21 janv. 2009,3.0-b34,28 janv. 2009,0,0,0,0
3.0-b34,28 janv. 2009,3.0-b35,05 févr. 2009,0,0,0,0
3.0-b35,05 févr. 2009,3.0-b36,11 févr. 2009,0,0,0,0
3.0-b36,11 févr. 2009,3.0-Prelude-Embedded-b10,17 févr. 2009,5,0,7,2
3.0-Prelude-Embedded-b10,17 févr. 2009,3.0-b37,18 févr. 2009,0,5,2,7
3.0-b37,18 févr. 2009,3.0-Prelude-Embedded-b11,24 févr. 2009,5,0,7,2
3.0-Prelude-Embedded-b11,24 févr. 2009,3.0-b38,25 févr. 2009,0,5,2,7
3.0-b38,25 févr. 2009,3.0-b39,04 mars 2009,0,0,0,0
3.0-b39,04 mars 2009,3.0-Prelude-Embedded-b12,06 mars 2009,5,0,7,2
3.0-Prelude-Embedded-b12,06 mars 2009,3.0-b40,11 mars 2009,0,5,2,7
3.0-b40,11 mars 2009,3.0-Prelude-Embedded-b13,11 mars 2009,5,0,7,2
3.0-Prelude-Embedded-b13,11 mars 2009,3.0-Prelude-Embedded-b14,14 mars 2009,0,0,0,0
3.0-Prelude-Embedded-b14,14 mars 2009,3.0-b41,18 mars 2009,0,5,2,7
3.0-b41,18 mars 2009,3.0-b42,26 mars 2009,0,0,0,0
3.0-b42,26 mars 2009,3.0-b43,01 avr. 2009,0,0,0,0
3.0-b43,01 avr. 2009,3.0-b44,08 avr. 2009,0,0,0,0
3.0-b44,08 avr. 2009,3.0-b45,17 avr. 2009,0,0,0,0
3.0-b45,17 avr. 2009,3.0-b46,23 avr. 2009,0,0,0,0
3.0-b46,23 avr. 2009,3.0-b47,29 avr. 2009,0,0,0,0
3.0-b47,29 avr. 2009,3.0-Preview-b47a,06 mai 2009,0,0,0,2
3.0-Preview-b47a,06 mai 2009,3.0-Preview-b47b,13 mai 2009,0,0,0,0
3.0-Preview-b47b,13 mai 2009,3.0-Preview-b47c,21 mai 2009,0,0,0,0
3.0-Preview-b47c,21 mai 2009,3.0-b48,27 mai 2009,0,1,5,6
3.0-b48,27 mai 2009,3.0-Preview,28 mai 2009,1,0,6,5
3.0-Preview,28 mai 2009,3.0-b49,04 juin 2009,0,1,5,6
3.0-b49,04 juin 2009,3.0-b50,10 juin 2009,0,0,0,0
3.0-b50,10 juin 2009,3.0-b51,17 juin 2009,0,0,0,0
3.0-b51,17 juin 2009,3.0-b52,25 juin 2009,0,0,0,0
3.0-b52,25 juin 2009,3.0-b53,02 juil. 2009,0,0,0,0
3.0-b53,02 juil. 2009,3.0-b54,08 juil. 2009,0,0,0,0
3.0-b54,08 juil. 2009,3.0-b55,15 juil. 2009,0,0,3,0
3.0-b55,15 juil. 2009,3.0-b56,22 juil. 2009,0,1,2,6
3.0-b56,22 juil. 2009,3.0-b57,29 juil. 2009,0,0,0,0
3.0-b57,29 juil. 2009,3.0-b58,05 août 2009,0,0,0,0
3.0-b58,05 août 2009,3.0-b59,12 août 2009,0,0,0,0
3.0-b59,12 août 2009,3.0-b60,20 août 2009,0,0,0,0
3.0-b60,20 août 2009,3.0-b61,26 août 2009,0,0,0,0
3.0-b61,26 août 2009,3.0-b62,03 sept. 2009,0,0,1,1
3.0-b62,03 sept. 2009,3.0-b63,11 sept. 2009,0,0,0,0
3.0-b63,11 sept. 2009,3.0-b64,16 sept. 2009,0,0,0,0
3.0-b64,16 sept. 2009,3.0-b65,24 sept. 2009,0,0,0,0
3.0-b65,24 sept. 2009,3.0-b66,01 oct. 2009,0,0,0,0
3.0-b66,01 oct. 2009,3.0-b67,10 oct. 2009,0,0,0,0
3.0-b67,10 oct. 2009,3.0-b68,16 oct. 2009,0,0,0,0
3.0-b68,16 oct. 2009,3.0-b69,22 oct. 2009,0,0,0,0
3.0-b69,22 oct. 2009,3.0-b70,28 oct. 2009,0,0,0,0
3.0-b70,28 oct. 2009,3.0-b71,06 nov. 2009,0,0,0,0
3.0-b71,06 nov. 2009,3.0-b72,11 nov. 2009,0,0,0,0
3.0-b72,11 nov. 2009,3.0-b73,19 nov. 2009,0,0,0,0
3.0-b73,19 nov. 2009,3.0-b74,25 nov. 2009,0,0,0,0
3.0-b74,25 nov. 2009,3.0-b74a,02 déc. 2009,0,0,0,0
3.0-b74a,02 déc. 2009,3.0-b74b,03 déc. 2009,0,0,0,0
3.0-b74b,03 déc. 2009,3.0,09 déc. 2009,0,0,0,0
3.0,09 déc. 2009,3.0.1-b01,22 janv. 2010,0,0,0,0
3.0.1-b01,22 janv. 2010,3.0.1-b02,28 janv. 2010,0,0,0,0
3.0.1-b02,28 janv. 2010,3.0.1-b03,04 févr. 2010,0,0,0,0
3.0.1-b03,04 févr. 2010,3.0.1-b04,10 févr. 2010,0,0,0,0
3.0.1-b04,10 févr. 2010,3.0.1-b05,16 févr. 2010,0,0,0,0
3.0.1-b05,16 févr. 2010,3.0.1-b06,25 févr. 2010,0,0,0,0
3.0.1-b06,25 févr. 2010,3.0.1-b07,03 mars 2010,0,0,0,0
3.0.1-b07,03 mars 2010,3.0.1-b08,10 mars 2010,0,0,0,0
3.0.1-b08,10 mars 2010,3.0.1-b09,17 mars 2010,0,0,0,0
3.0.1-b09,17 mars 2010,3.0.1-b10,24 mars 2010,0,0,0,0
3.0.1-b10,24 mars 2010,3.0.1-b11,31 mars 2010,0,0,0,0
3.0.1-b11,31 mars 2010,3.0.1-b12,07 avr. 2010,0,0,0,0
